sample,crystal_system,a,b,c,alpha,beta,gamma,cbm,vbm,band_gap
TiO2,Orthorhombic,5.518,5.518,5.518,114.8,106.87,106.87,5.003,3.1936,1.8094
Na2O2,Hexagonal,6.135,6.135,4.425,90,90,120,3.4638,1.7277,1.7361
ZnO2,Cubic,4.957,4.957,4.957,90,90,90,4.8174,2.6598,2.1576
ThO2,Orthorhombic,3.784,6.183,7.146,90,90,90,8.9413,5.4211,3.5202
SiO2,Cubic,8.816,8.816,8.816,109.47,109.47,109.47,4.9184,0.3771,4.5413
SbO2,Orthorhombic,5.943,6.535,12.295,90,90,90,3.9305,1.6334,2.2971
SiO2,Tetragonal,8.234,8.234,5.561,90,90,90,4.5162,-0.2867,4.8029
TeO2,Monoclinic,4.008,5.474,7.811,88.23,90,90,7.869,5.5849,2.2841
H2O2,Tetragonal,3.332,3.332,11.298,90,90,90,3.3214,-0.8283,4.1497
NdO2,Monoclinic,3.915,3.915,6.509,83.26,83.26,62.01,5.8125,2.4013,3.4112
SiO2,Cubic,15.562,15.562,15.562,60,60,60,2.2649,-1.3474,3.6123
VO2,Tetragonal,8.607,8.607,7.766,90,90,90,3.2376,2.0042,1.2334
SiO2,Trigonal,11.005,11.005,11.005,114.36,114.36,114.36,1.3552,-0.9502,2.3054
SiO2,Tetragonal,11.279,11.279,5.164,90,90,90,4.3814,1.8519,2.5295
Li2O2,Hexagonal,3.336,3.336,7.9,90,90,120,2.3339,0.696,1.6379
SiO2,Hexagonal,12.747,12.747,3.775,90,90,120,2.2144,0.9616,1.2528
SiO2,Orthorhombic,4.224,7.627,8.497,90,90,90,6.5452,2.1526,4.3926
ZrO2,Monoclinic,5.154,5.228,5.33,90,99.44,90,6.1121,2.5799,3.5322
Rb2O2,Orthorhombic,4.187,5.083,5.083,72.03,65.68,65.68,2.9805,1.2205,1.76
SiO2,Cubic,13.084,13.084,13.084,90,90,90,1.9595,0.6463,1.3132
MnO2,Trigonal,2.857,2.857,4.601,90.01,89.99,120,2.4119,0.8909,1.521
VO2,Orthorhombic,3.017,8.783,10.538,90,89.99,90,3.4115,2.039,1.3725
Cs2O2,Orthorhombic,4.334,5.416,5.416,72.92,66.42,66.42,4.0339,2.3843,1.6496
CO2,Monoclinic,4.098,3.702,10.036,82.38,90,90,2.4858,-1.4755,3.9613
SiO2,Tetragonal,12.373,12.373,4.375,90,90,90,2.6745,1.3145,1.36
CeO2,Tetragonal,5.135,5.135,3.636,90,90,90,5.1975,3.2929,1.9046
SiO2,Cubic,3.241,3.241,3.241,60,60,60,10.8331,9.0935,1.7396
SbO2,Triclinic,3.231,8.184,8.452,85.59,81.62,81.2,3.5513,2.4963,1.055
SiO2,Tetragonal,12.071,12.071,12.071,152.13,152.13,39.82,4.4694,-0.0094,4.4788
SiO2,Trigonal,10.907,10.907,10.907,43.34,43.34,43.34,4.374,0.3382,4.0358
K2O2,Orthorhombic,4.829,4.829,6.45,90,90,92.31,3.0914,0.7339,2.3575
TiO2,Trigonal,5.582,5.582,6.082,90,90,120,1.5777,-1.8433,3.421
SiO2,Monoclinic,5.055,5.055,8.982,82.98,82.98,63.96,1.004,-2.3939,3.3979
MoO2,Tetragonal,7.687,7.687,7.687,92.58,92.58,155.48,3.0203,1.9556,1.0647
WO2,Triclinic,6.483,6.519,15.493,90.69,90.19,119.51,3.425,1.747,1.678
MoO2,Orthorhombic,3.284,9.16,11.105,90,90,90,4.0758,2.7821,1.2937
TeO2,Orthorhombic,4.407,4.871,8.729,90,90,90,6.59,3.5296,3.0604
SbO2,Orthorhombic,4.838,5.497,11.829,90,90,90,7.3618,5.4045,1.9573
HfO2,Triclinic,10.552,11.365,11.21,92.23,89,89.63,5.6887,2.2196,3.4691
HfO2,Tetragonal,3.558,3.558,5.172,90,90,90,7.9537,3.2859,4.6678
SnO2,Trigonal,5.151,5.151,5.151,36.59,36.59,36.59,5.2485,3.3186,1.9299
TiO2,Orthorhombic,5.018,5.018,10.235,90,90,145.83,3.9477,1.4342,2.5135
C61O2,Monoclinic,9.938,9.924,17.844,56.54,90,90,2.6838,1.4196,1.2642
SrO2,Tetragonal,3.544,3.544,4.177,115.1,115.1,90,5.3017,2.4522,2.8495
SbO2,Monoclinic,4.861,5.398,6.516,103.29,111.9,90,7.5946,5.5658,2.0288
SiO2,Hexagonal,12.884,12.884,3.885,90,90,120,2.0972,0.8634,1.2338
SiO2,Orthorhombic,5.765,5.765,11.314,90,90,94.08,4.6897,0.1798,4.5099
SiO2,Cubic,10.47,10.47,10.47,109.47,109.47,109.47,6.2051,1.8977,4.3074
HfO2,Tetragonal,4.814,4.814,3.205,90,90,90,6.1408,2.2383,3.9025
CrO2,Monoclinic,2.979,2.979,9.551,81.41,81.41,57.35,2.5276,1.5,1.0276
SeO2,Orthorhombic,4.501,5.098,15.102,90,90,90,3.6317,0.19,3.4417
ZrO2,Orthorhombic,3.388,5.633,6.589,90,90,90,7.1338,4.2764,2.8574
MnO2,Cubic,5.685,5.685,5.686,60,59.99,60.01,2.194,0.6201,1.5739
