band_gap,sample,crystal_size,ssa,a,c,base,primary_dopant,secondary_dopant,primary_conc,secondary_conc,base_conc,crystal_system,reference
3.15,Zn0.9 Ni0.0 O,160,,3.227,5.172,Zn,Ni,,10,0,90,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000012
3.18,ZnO/ITO/glass,330,,3.279,5.198,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000013
3.18,Undoped ZnO,673.1,,3.31,5.36,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000014
3.19,0.25 wt% Ag-doped ZnO,218,,3.229,5.179,Zn,Ag,,25,0,75,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000015
3.2,Al-doped ZnO A,227.1,,3.361,5.326,Zn,Al,,,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000016
3.21,Undoped ZnO,180,,3.226,5.166,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000017
3.21,10% Cu-doped ZnO at 900 C,200,,3.245,5.197,Zn,Cu,,10,0,90,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000018
3.218,5 at% Sn-doped ZnO,600.4,,3.66,4.98,Zn,Sn,,5,0,95,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000019
3.237,0.5 at% Sn-doped ZnO,459.5,,3.25,5.21,Zn,Sn,,0.5,0,99.5,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000020
3.24,Zn0.95Cu0.05O,287.4,,3.23,5.21,Zn,Cu,,5,0,95,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000021
3.24,Undoped ZnO,258,,3.2309,5.1718,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000022
3.245,0.1 at% Sn-doped ZnO,523.6,,3.25,5.21,Zn,Sn,,0.1,0,99.9,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000023
3.246,Undoped ZnO,509.3,,3.25,5.21,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000024
3.25,Zn0.9 Cu0.04 O,285.2,,3.23,5.21,Zn,Cu,,4,0,96,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000025
3.25,ZnO: Ag 3%,792.4,,3.2409,5.1888,Zn,Ag,,3,0,97,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000026
3.25,0% Li-doped ZnO: 2% Sn,139,,3.25,5.207,Zn,Sn,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000027
3.25,Zn0.97Cu0.0 O,279.2,,3.25,5.21,Zn,Cu,,3,0,97,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000028
3.26,Undoped ZnO,500,,3.236,5.185,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000029
3.26,Undoped ZnO,113,,3.242,5.205,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000030
3.26,3% Li-doped ZnO: 2% Sn,139,,3.253,5.209,Zn,Li,Sn,3,2,95,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000031
3.262,"Ga-doped ZnO, 10 kGy irradiation dose",310.5,,2.598,5.194,Zn,Ga,,10,0,90,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000032
3.265,Undoped ZnO,219.1,,3.24337,5.18939,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000033
3.265,1 at% Sn-doped ZnO,382.3,,3.25,5.21,Zn,Sn,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000034
3.267,"Ga-doped ZnO, 5 kGy irradiation dose",296.2,,2.6,5.197,Zn,Ga,,5,0,95,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000035
3.267,Undoped ZnO,250.3,,3.24572,5.19314,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000036
3.27,"Ga-doped ZnO, 1 kGy irradiation dose",294,,2.601,5.2,Zn,Ga,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000037
3.27,ZnO: Ag 2%,93.23,,3.2442,5.1913,Zn,Ag,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000038
3.272,2 at% Sn-doped ZnO,718.2,,3.25,4.98,Zn,Sn,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000039
